type_objectid,name
poi_52,Victorian Gardens
poi_53,Canadian Clay and Glass Gallery
poi_54,University of Waterloo
poi_55,Wilfrid Laurier University
poi_56,Conestoga College
poi_57,Conestoga Mall
poi_58,Centre for International Governance Innovation
poi_59,Balsillie School of International Affairs
poi_60,Westmount Golf and Country Club
poi_61,Green Acre Park
poi_62,Laurel Creek Conservation Area
poi_63,Comfort Inn
poi_64,Waterloo Hotel
poi_65,The Waterloo Inn
poi_66,Destination Inn
poi_67,Dearborn Business Park
poi_68,The Boardwalk
poi_69,Waterloo Commons
poi_70,David Johnston Research & Technology Park
poi_71,Waterloo Public Library (Eastside Branch)
poi_72,Waterloo Public Library (Harper Branch)
poi_73,Waterloo Public Library (McCormick Branch)
poi_74,Waterloo Public Library (Main)
poi_75,Waterloo Fire Department (Station 4)
poi_76,"ION Operations, Maintenance and Storage Facility"
poi_77,
recreation_1,Waterloo Park
recreation_2,Waterloo Memorial Recreation Complex
recreation_3,Moses Springer Community Centre
recreation_4,Manulife Financial Soccer and Sports Centre
recreation_5,RIM Park Manulife Financial Sportsplex
recreation_6,Albert McCormick Community Centre
recreation_7,Heasley Park
recreation_8,Hillside Park
recreation_9,Forwell Park
recreation_10,Kingscourt Park
recreation_11,Dunvegan Park
recreation_12,Auburn Park
recreation_13,University Downs Park
recreation_14,Exmoor Park
recreation_15,Carriage Way Park
recreation_16,Wintermeyer Park
recreation_17,Maverick Park
recreation_18,Eastbridge Green
recreation_19,Chesapeake Park
recreation_20,Bluenose Park
recreation_21,Whitecap Park
recreation_22,Angler Way Park
recreation_23,Atlantic Park
recreation_24,Haida Park
recreation_25,Deer Run Park
recreation_26,Bluestream Park
recreation_27,Anndale Park
recreation_28,Lexington Park
recreation_29,Sandowne Park
recreation_30,Brighton Park
recreation_31,Glen Acres Park
recreation_32,Mary Allen Park
recreation_33,Alexandra Park
recreation_34,Culpepper Park
recreation_35,Thorndale Park
recreation_36,Red River Park
recreation_37,Westvale Park
recreation_38,Bolingbrooke Park
recreation_39,Warrington Park
recreation_40,West Wind Park
recreation_41,Rummelhardt Park
recreation_42,McCrae Park
recreation_43,Royal Beech Park
