Model,MSE,RMSE,R-squared,Median Error
Linear Regression,54128575310.703606,232655.48631120566,0.4759989576760195,13.04727928175874
Ridge Regression,34569471591.20555,185928.67339710018,0.6653442466866679,10.287064162842565
Lasso Regression,57162682590.0031,239087.18616856716,0.4466267569899741,12.993518248117699
Decision Tree,57402674873.309525,239588.55330192536,0.44430347015154503,10.956628298297812
Random Forest,34400804265.85174,185474.5380526711,0.6669770599241137,7.135543659938653
Support Vector Regression,112707105617.01045,335718.78949056525,-0.09108064421850637,15.000654153662978
XGBoost,36366356480.0,190699.6499210211,0.6479491591453552,8.234731807137585
